"SERIALNO","PUMA5","HWEIGHT","UNITTYPE","PERSONS","BLDGSZ","HINC"
"0088863","01308",27,0,3,"02",55200
"0088962","01306",25,0,4,"02",72640
"0088999","00500",21,0,1,"06",20000
"0089035","00300",7,0,0,"01",0
"0089577","01200",4,0,4,"02",47600
"0089897","01309",24,0,4,"02",179000
"0089944","01311",25,0,5,"02",87960
"0090084","01309",16,0,4,"09",18100
"0090101","00900",20,0,0,"02",0
"0090304","00800",34,0,1,"10",8000
"0090392","01102",9,0,2,"02",75800
"0090523","00500",24,0,0,"02",0
"0090606","01305",15,0,3,"03",52000
"0090607","00200",3,0,0,"02",0
"0090742","01301",22,0,2,"02",23900
"0090815","01310",21,0,1,"07",30000
"0090860","00702",27,0,0,"03",0
"0090981","00600",27,0,1,"04",10550
"0091037","00800",18,0,2,"02",44440
"0091052","01305",27,0,1,"06",19400
"0091121","00500",21,0,2,"02",24200
"0091175","01200",40,0,3,"02",33000
"0091246","00500",16,0,4,"02",36000
"0091500","01307",18,0,3,"02",69590
"0091644","01306",27,0,1,"06",72200
"0091673","01200",28,0,4,"02",84000
"0091715","00300",7,0,0,"02",0
"0091794","01301",18,0,2,"02",136000
"0092504","00800",27,0,1,"04",24900
"0092648","01200",15,0,2,"02",41080
"0092720","00900",25,0,2,"02",68000
"0092722","01304",21,0,2,"05",62800
"0092822","00702",24,0,2,"01",29600
"0092849","00100",21,0,1,"02",16700
