SERIALNO,AGE,WRKLYR,INCTOT
0062988,46,1,18000
0062996,27,1,2010
0063077,76,2,21300
0063077,84,2,9780
0063171,51,1,57820
0063171,41,2,0
0063171,10,0,NA
0063171,9,0,NA
0063171,5,0,NA
0063422,84,2,14500
0063506,18,1,530
0063506,4,0,NA
0063673,73,2,12500
0063673,67,1,19900
0063673,38,1,32000
0063673,14,0,NA
0063939,46,1,14000
0063939,13,0,NA
0063941,67,2,3600
0064264,21,1,3200
0064264,35,1,13000
0064264,44,1,5000
0064264,22,1,33000
0064264,21,1,29700
0064327,28,1,2000
0064327,27,1,30000
0064408,48,1,345000
0064408,45,1,339000
0064483,55,1,21000
0064483,60,1,49000
0064703,38,1,35900
0064703,37,1,19550
0064703,0,0,NA
0065020,19,1,19000
0065020,20,1,12000
0065020,22,1,27300
0065037,83,2,7600
0065180,38,1,11000
0065180,9,0,NA
0065180,7,0,NA
0065298,88,2,9500
0065352,39,1,20000
0065352,41,1,25000
0065352,18,2,0
0065352,18,2,0
0065352,11,0,NA
0065352,8,0,NA
0065352,19,1,5800
0065555,19,1,6900
0065555,20,1,13000
0065555,19,1,5380
0065555,19,1,18000
0065667,57,1,43360
0065667,50,2,0
0066020,40,1,46000
0066251,69,2,34000
0066251,70,2,18000
0066493,70,2,30280
0066493,66,2,5100
0066498,67,1,58210
0066498,74,2,5600
0066636,71,2,15200
0066636,67,1,16410
0066733,72,2,5500
0066733,76,2,34500
0067533,51,1,75900
0067533,49,1,9000
0067582,32,1,41000
0067582,32,1,47000
0067582,5,0,NA
0067840,68,1,35300
0067840,69,2,5900
0067840,46,1,42100
0067892,50,1,30000
0067892,51,1,25000
0067892,20,1,15000
0067892,1,0,NA
0067892,18,2,0
0067911,43,2,430
0067911,17,2,0
0067976,55,1,52000
0067976,55,1,32000
0068022,35,1,37000
0068022,34,1,16000
0068022,4,0,NA
0068059,66,2,7260
0068740,36,1,24000
0068740,38,1,43100
0068740,10,0,NA
0068740,7,0,NA
0068746,93,2,0
0069460,64,2,7000
0069581,54,1,16000
0069581,45,1,29000
0069737,54,1,40200
0069953,81,2,12400
0069953,40,1,9700
0069953,13,0,NA
0069953,11,0,NA
0069975,50,2,6000
0069975,39,1,79000
0069975,11,0,NA
0070201,44,1,30000
0070201,42,1,40000
0070253,45,1,30110
0070325,60,1,70000
0070325,57,1,37000
0070386,46,1,33210
0070386,50,1,23510
0070449,53,1,61200
0070449,23,1,3100
0070449,1,0,NA
0070452,54,1,4500
0070452,48,1,7900
0070478,41,1,35000
0070638,93,2,11000
0070683,37,1,4600
0070683,31,1,19100
0070835,25,1,37030
0070835,24,1,25100
0070953,68,2,51700
0070953,25,1,33200
0070955,61,2,41300
0070955,58,1,8600
0071188,20,1,6380
0071188,0,0,NA
0071188,45,2,4500
0071188,16,2,0
0071188,1,0,NA
0071188,0,0,NA
0071246,42,1,10000
0071246,41,1,39100
0071246,11,0,NA
0071246,8,0,NA
0071246,8,0,NA
0071331,54,1,78000
0071331,50,2,5600
0071731,60,1,24400
0071731,61,1,42700
0071791,48,1,20000
0071791,47,1,6000
0071822,51,1,69000
0071822,51,1,20000
0071924,37,1,61000
0071924,36,1,31400
0071924,12,0,NA
0071974,30,1,13400
0071974,34,1,38000
